date,country,SiteName,Technology,updatedby,updatetime,Volume
2024-05-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4198.0
2024-05-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3191.0
2024-05-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4577.0
2024-05-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3744.0
2024-05-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5922.0
2024-05-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6634.0
2024-05-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3059.0
2024-05-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5242.0
2024-05-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6542.0
2024-05-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4223.0
2024-05-21 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3397.0
2024-05-22 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3147.0
2024-05-23 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4398.0
2024-05-24 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5643.0
2024-05-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6551.0
2024-05-26 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6166.0
2024-05-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4425.0
2024-06-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3403.0
2024-06-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6768.0
2024-06-30 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3442.0
2024-08-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5101.0
2024-08-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6646.0
2024-08-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4353.0
2024-08-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6288.0
2024-08-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3467.0
2024-08-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4268.0
2024-08-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4203.0
2024-08-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5812.0
2024-08-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5394.0
2024-08-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3762.0
2024-08-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4815.0
2024-08-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5657.0
2024-08-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4605.0
2024-08-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3104.0
2024-07-30 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6028.0
2024-08-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5824.0
2024-08-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6843.0
2024-08-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6836.0
2024-08-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4144.0
2024-08-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6635.0
2024-08-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5013.0
2024-08-21 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6750.0
2024-08-22 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6562.0
2024-08-23 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6973.0
2024-08-24 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6625.0
2024-08-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5548.0
2024-08-26 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3472.0
2024-07-31 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3115.0
2024-07-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5672.0
2024-07-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5740.0
2024-07-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3315.0
2024-07-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4603.0
2024-07-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3299.0
2024-07-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4340.0
2024-07-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6253.0
2024-07-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6451.0
2024-07-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6397.0
2024-07-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3414.0
2024-07-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6212.0
2024-07-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5747.0
2024-07-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6460.0
2024-07-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3457.0
2024-07-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4732.0
2024-07-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5317.0
2024-07-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5425.0
2024-07-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5568.0
2024-07-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6680.0
2024-07-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4673.0
2024-07-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4268.0
2024-07-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3687.0
2024-07-21 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5917.0
2024-07-22 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3950.0
2024-07-23 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4076.0
2024-07-24 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4312.0
2024-07-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4185.0
2024-07-26 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4306.0
2024-07-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5345.0
2024-05-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6812.0
2024-04-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4692.0
2024-08-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6508.0
2024-04-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5812.0
2024-01-31 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3347.0
2024-02-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3648.0
2024-02-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6059.0
2024-02-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4576.0
2024-02-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4906.0
2024-02-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3632.0
2024-02-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4285.0
2024-02-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3934.0
2024-02-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6413.0
2024-02-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6350.0
2024-02-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3818.0
2024-02-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6417.0
2024-02-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6895.0
2024-02-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4590.0
2024-02-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3720.0
2024-02-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4506.0
2024-02-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5881.0
2024-02-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5635.0
2024-02-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4108.0
2024-02-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3851.0
2024-02-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6155.0
2024-02-21 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5208.0
2024-02-22 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3489.0
2024-02-23 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4284.0
2024-02-24 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5529.0
2024-02-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6495.0
2024-02-26 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3556.0
2024-01-30 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6101.0
2024-01-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6190.0
2024-01-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5810.0
2024-01-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6360.0
2024-01-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6753.0
2024-01-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3896.0
2024-01-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3636.0
2024-01-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5138.0
2024-01-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5265.0
2024-01-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5052.0
2024-01-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6136.0
2024-01-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5554.0
2024-01-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3533.0
2024-01-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5835.0
2024-01-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4914.0
2024-01-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6393.0
2024-01-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5534.0
2024-01-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4705.0
2024-01-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4809.0
2024-01-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6890.0
2024-01-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4912.0
2024-01-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3295.0
2024-01-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4808.0
2024-01-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5244.0
2024-01-21 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5270.0
2024-01-22 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4784.0
2024-01-23 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6627.0
2024-01-24 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4324.0
2024-01-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4405.0
2024-01-26 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5643.0
2024-02-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5703.0
2024-02-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3866.0
2024-02-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4298.0
2024-04-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3571.0
2024-04-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6970.0
2024-04-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4795.0
2024-04-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6663.0
2024-04-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5778.0
2024-04-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3848.0
2024-04-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4987.0
2024-04-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4348.0
2024-04-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4338.0
2024-04-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3292.0
2024-04-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6542.0
2024-04-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3235.0
2024-04-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3417.0
2024-04-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5242.0
2024-03-30 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4324.0
2024-04-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3903.0
2024-04-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4792.0
2024-04-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5785.0
2024-04-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5605.0
2024-04-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5915.0
2024-04-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5112.0
2024-04-21 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4419.0
2024-04-22 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5840.0
2024-04-23 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5553.0
2024-04-24 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5016.0
2024-04-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4491.0
2024-04-26 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5332.0
2024-03-31 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6265.0
2024-03-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3785.0
2024-03-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5206.0
2024-03-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3361.0
2024-03-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3541.0
2024-03-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5206.0
2024-03-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4498.0
2024-03-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6179.0
2024-03-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4342.0
2024-03-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5712.0
2024-03-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4607.0
2024-03-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4094.0
2024-03-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5183.0
2024-03-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3666.0
2024-03-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3707.0
2024-03-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6135.0
2024-03-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5791.0
2024-03-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3464.0
2024-03-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4791.0
2024-03-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6399.0
2024-03-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3256.0
2024-03-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6084.0
2024-03-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4478.0
2024-03-21 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3122.0
2024-03-22 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3612.0
2024-03-23 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5584.0
2024-03-24 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4026.0
2024-03-25 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6371.0
2024-03-26 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5205.0
2024-03-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5342.0
2024-08-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4113.0
2024-04-30 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4345.0
2024-08-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4691.0
2024-12-27 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4714.0
2025-01-28 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4463.0
2025-01-29 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4220.0
2025-01-30 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4356.0
2025-01-31 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5584.0
2025-02-01 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6475.0
2025-02-02 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4111.0
2025-02-03 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5647.0
2025-02-04 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3170.0
2025-02-05 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6379.0
2025-02-06 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6360.0
2025-02-07 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3174.0
2025-02-08 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,4236.0
2025-02-09 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6501.0
2025-02-10 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3470.0
2025-02-11 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5924.0
2025-02-12 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3699.0
2025-02-13 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6305.0
2025-02-14 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3320.0
2025-02-15 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6233.0
2025-02-16 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3265.0
2025-02-17 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6604.0
2025-02-18 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,5698.0
2025-02-19 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,3785.0
2025-02-20 00:00:00,France,Blenod-5,Gas,petroineos,2025-06-05 16:15:29.739945,6450.0
